Entering constructor for: ReviewPal.ReviewPal2013.DrSmellPackage
Entering Initialize() of: ReviewPal.ReviewPal2013.DrSmellPackage
2022-09-25 12:39:56Z : PB = 435429376 : In   : ---------------------------- StyleCop.StyleCopCore..ctor(environment=<null>, hostTag=<null>)
2022-09-25 12:40:00Z : PB = 480034816 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-09-25 12:40:00Z : PB = 480034816 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-09-25 12:40:00Z : PB = 487813120 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-09-25 12:40:00Z : PB = 487813120 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-09-25 12:40:00Z : PB = 487813120 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-09-25 12:40:00Z : PB = 487813120 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-09-25 12:40:00Z : PB = 487813120 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-09-25 12:40:00Z : PB = 487825408 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-09-25 12:40:00Z : PB = 487825408 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-09-25 12:40:00Z : PB = 487825408 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-09-25 12:40:00Z : PB = 493867008 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-09-25 12:40:00Z : PB = 493867008 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-09-25 12:40:00Z : PB = 493867008 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-09-25 12:40:00Z : PB = 493977600 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-09-25 12:40:00Z : PB = 493989888 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-09-25 12:40:00Z : PB = 494686208 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-09-25 12:40:00Z : PB = 494698496 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-09-25 12:40:00Z : PB = 494706688 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-09-25 12:40:00Z : PB = 500695040 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-09-25 12:40:00Z : PB = 500695040 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-09-25 12:40:00Z : PB = 500703232 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-09-25 12:40:00Z : PB = 500707328 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-09-25 12:40:00Z : PB = 500707328 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-09-25 12:40:00Z : PB = 500736000 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-09-25 12:40:00Z : PB = 500736000 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-09-25 12:40:00Z : PB = 500736000 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-09-25 12:40:00Z : PB = 506683392 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-09-25 12:40:00Z : PB = 506814464 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-09-25 12:40:00Z : PB = 506880000 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-09-25 12:40:00Z : PB = 507011072 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-09-25 12:40:00Z : PB = 507076608 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-09-25 12:40:00Z : PB = 507273216 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-09-25 12:40:00Z : PB = 507273216 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-09-25 12:40:00Z : PB = 507273216 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-09-25 12:40:00Z : PB = 514314240 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-09-25 12:40:00Z : PB = 514314240 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-09-25 12:40:00Z : PB = 514314240 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-09-25 12:40:00Z : PB = 514314240 : Out  : --------- StyleCop.StyleCopThread.DoWork()
2022-09-25 12:40:00Z : PB = 514314240 : Out  : -------- StyleCop.StyleCopCore.RunWorkerThreads()=True
2022-09-25 12:40:00Z : PB = 514318336 : Out  : ------- StyleCop.StyleCopCore.Analyze()
2022-09-25 12:40:00Z : PB = 514289664 : Out  : ------ StyleCop.StyleCopCore.FullAnalyze()
2022-09-25 12:40:00Z : PB = 514289664 : In   : ------ StyleCop.VisualStudio.AnalysisHelper.AnalyzeComplete(sender=[AnalysisThread], e=[EventArgs])
2022-09-25 12:40:00Z : PB = 514293760 : In   : ------- StyleCop.VisualStudio.AnalysisHelper.AnalyzeCompleteMain(sender=[AnalysisThread], e=[EventArgs])
FeatureEnvyDetector	WARN	Finded Feature Envy
FeatureEnvyDetector	WARN	at C:\Users\kerueilin9\Desktop\Document\window_design\HW1\109590043\HW01\Form1.cs Line 39
FeatureEnvyDetector	WARN	 Homework01.Form1 envy Homework01.Model
FeatureEnvyDetector	WARN	use list:
FeatureEnvyDetector	WARN		GetCategoryBookCount
FeatureEnvyDetector	WARN		GetTabName
2022-09-25 12:40:01Z : PB = 478691328 : Out  : ------- StyleCop.VisualStudio.AnalysisHelper.AnalyzeCompleteMain()
2022-09-25 12:40:01Z : PB = 478691328 : Out  : ------ StyleCop.VisualStudio.AnalysisHelper.AnalyzeComplete()
2022-09-25 12:40:01Z : PB = 478695424 : Out  : ----- StyleCop.VisualStudio.AnalysisThread.AnalyzeProc()
ResolveFWLinkAccountManager statusCode is redirect: 'True'
ResolveFWLinkAccountManager resovled fwlink from 'https://go.microsoft.com/fwlink/?LinkID=415837' to 'https://app.vssps.visualstudio.com/'
2022-09-25 15:01:20Z : PB = 635887616 : In   : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze(full=True, type={Solution}, analysisFileManager=<missing>)
2022-09-25 15:01:20Z : PB = 636567552 : Out  : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze()
2022-09-25 15:01:20Z : PB = 636567552 : In   : ----- StyleCop.VisualStudio.AnalysisThread.AnalyzeProc()
2022-09-25 15:01:20Z : PB = 635973632 : In   : ------ StyleCop.StyleCopCore.FullAnalyze(projects=[List<CodeProject>: Count = 1])
2022-09-25 15:01:20Z : PB = 635973632 : In   : ------- StyleCop.StyleCopCore.Analyze(projects=[List<CodeProject>: Count = 1], ignoreCache=True, settingsPath=<null>)
2022-09-25 15:01:20Z : PB = 635744256 : In   : -------- StyleCop.StyleCopCore.RunWorkerThreads(data=[Data], count=1)
2022-09-25 15:01:20Z : PB = 635744256 : In   : --------- StyleCop.StyleCopThread.DoWork(sender=<null>)
2022-09-25 15:01:20Z : PB = 635744256 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-09-25 15:01:20Z : PB = 635854848 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-09-25 15:01:20Z : PB = 635854848 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-09-25 15:01:20Z : PB = 635854848 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-09-25 15:01:20Z : PB = 635854848 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-09-25 15:01:20Z : PB = 639700992 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-09-25 15:01:20Z : PB = 639700992 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-09-25 15:01:20Z : PB = 639700992 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-09-25 15:01:20Z : PB = 639700992 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-09-25 15:01:20Z : PB = 639700992 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-09-25 15:01:20Z : PB = 639700992 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-09-25 15:01:20Z : PB = 639700992 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-09-25 15:01:20Z : PB = 639700992 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-09-25 15:01:20Z : PB = 643145728 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-09-25 15:01:20Z : PB = 643145728 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-09-25 15:01:20Z : PB = 643145728 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-09-25 15:01:20Z : PB = 643145728 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-09-25 15:01:20Z : PB = 643145728 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-09-25 15:01:20Z : PB = 643215360 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-09-25 15:01:20Z : PB = 643215360 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-09-25 15:01:20Z : PB = 643215360 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-09-25 15:01:20Z : PB = 648237056 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-09-25 15:01:20Z : PB = 648237056 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-09-25 15:01:20Z : PB = 648237056 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-09-25 15:01:20Z : PB = 648237056 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-09-25 15:01:20Z : PB = 648237056 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-09-25 15:01:20Z : PB = 648564736 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-09-25 15:01:20Z : PB = 648564736 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-09-25 15:01:20Z : PB = 648564736 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-09-25 15:01:20Z : PB = 654139392 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-09-25 15:01:20Z : PB = 654139392 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-09-25 15:01:20Z : PB = 654139392 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-09-25 15:01:20Z : PB = 654139392 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-09-25 15:01:20Z : PB = 654139392 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-09-25 15:01:20Z : PB = 654139392 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-09-25 15:01:20Z : PB = 654139392 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-09-25 15:01:20Z : PB = 654139392 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-09-25 15:01:20Z : PB = 659750912 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-09-25 15:01:20Z : PB = 659750912 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-09-25 15:01:20Z : PB = 659750912 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-09-25 15:01:20Z : PB = 659750912 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-09-25 15:01:20Z : PB = 659750912 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-09-25 15:01:20Z : PB = 659750912 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-09-25 15:01:20Z : PB = 659750912 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-09-25 15:01:20Z : PB = 659750912 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-09-25 15:01:20Z : PB = 666841088 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-09-25 15:01:20Z : PB = 666841088 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-09-25 15:01:20Z : PB = 666841088 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-09-25 15:01:20Z : PB = 666841088 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-09-25 15:01:20Z : PB = 666841088 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-09-25 15:01:20Z : PB = 666841088 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-09-25 15:01:20Z : PB = 666841088 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-09-25 15:01:20Z : PB = 666841088 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-09-25 15:01:21Z : PB = 672923648 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-09-25 15:01:21Z : PB = 672923648 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-09-25 15:01:21Z : PB = 672923648 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-09-25 15:01:21Z : PB = 672923648 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-09-25 15:01:21Z : PB = 672923648 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-09-25 15:01:21Z : PB = 672923648 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-09-25 15:01:21Z : PB = 672923648 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-09-25 15:01:21Z : PB = 672923648 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-09-25 15:01:21Z : PB = 679546880 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-09-25 15:01:21Z : PB = 679546880 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-09-25 15:01:21Z : PB = 679546880 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-09-25 15:01:21Z : PB = 679546880 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-09-25 15:01:21Z : PB = 679546880 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-09-25 15:01:21Z : PB = 679550976 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-09-25 15:01:21Z : PB = 679550976 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-09-25 15:01:21Z : PB = 679550976 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-09-25 15:01:21Z : PB = 686153728 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-09-25 15:01:21Z : PB = 686153728 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-09-25 15:01:21Z : PB = 686153728 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
