Entering constructor for: ReviewPal.ReviewPal2013.DrSmellPackage
Entering Initialize() of: ReviewPal.ReviewPal2013.DrSmellPackage
2022-12-04 08:37:35Z : PB = 620113920 : In   : ---------------------------- StyleCop.StyleCopCore..ctor(environment=<null>, hostTag=<null>)
2022-12-04 08:37:44Z : PB = 631537664 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-04 08:37:44Z : PB = 631545856 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-04 08:37:44Z : PB = 631566336 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-04 08:37:44Z : PB = 635748352 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-04 08:37:44Z : PB = 635748352 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-04 08:37:44Z : PB = 635772928 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-04 08:37:44Z : PB = 635772928 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-04 08:37:44Z : PB = 635772928 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-04 08:37:44Z : PB = 635351040 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-04 08:37:44Z : PB = 635351040 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-04 08:37:44Z : PB = 635351040 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-04 08:37:44Z : PB = 635604992 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-04 08:37:44Z : PB = 635604992 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-04 08:37:44Z : PB = 635613184 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-04 08:37:44Z : PB = 635613184 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-04 08:37:44Z : PB = 635613184 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-04 08:37:44Z : PB = 635641856 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-04 08:37:44Z : PB = 635641856 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-04 08:37:44Z : PB = 635641856 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-04 08:37:44Z : PB = 638152704 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-04 08:37:44Z : PB = 638152704 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-04 08:37:44Z : PB = 638152704 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-04 08:37:44Z : PB = 638152704 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-04 08:37:44Z : PB = 638152704 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-04 08:37:44Z : PB = 638156800 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-04 08:37:44Z : PB = 638156800 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-04 08:37:44Z : PB = 638156800 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-04 08:37:44Z : PB = 641105920 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-04 08:37:44Z : PB = 641105920 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-04 08:37:44Z : PB = 641105920 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-04 08:37:44Z : PB = 641105920 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-04 08:37:44Z : PB = 641105920 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-04 08:37:44Z : PB = 641105920 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-04 08:37:44Z : PB = 641105920 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-04 08:37:44Z : PB = 641105920 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-04 08:37:45Z : PB = 633434112 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-04 08:37:45Z : PB = 633434112 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-04 08:37:45Z : PB = 633434112 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-04 08:37:45Z : PB = 633434112 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-04 08:37:45Z : PB = 633434112 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-04 08:37:45Z : PB = 633450496 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-04 08:37:45Z : PB = 633450496 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-04 08:37:45Z : PB = 633450496 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-04 08:37:45Z : PB = 632631296 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-04 08:37:45Z : PB = 632631296 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-04 08:37:45Z : PB = 632631296 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-04 08:37:45Z : PB = 632631296 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-04 08:37:45Z : PB = 632631296 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-04 08:37:45Z : PB = 632655872 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-04 08:37:45Z : PB = 632655872 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-04 08:37:45Z : PB = 632655872 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-04 08:37:45Z : PB = 636858368 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-04 08:37:45Z : PB = 636858368 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-04 08:37:45Z : PB = 636858368 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-04 08:37:45Z : PB = 636858368 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-04 08:37:45Z : PB = 636858368 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-04 08:37:45Z : PB = 636858368 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-04 08:37:45Z : PB = 636858368 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-04 08:37:45Z : PB = 636858368 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-04 08:37:45Z : PB = 639062016 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-04 08:37:45Z : PB = 639062016 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-04 08:37:45Z : PB = 639062016 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-04 08:37:45Z : PB = 639062016 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-04 08:37:45Z : PB = 639066112 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-04 08:37:45Z : PB = 639074304 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-04 08:37:45Z : PB = 639074304 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-04 08:37:45Z : PB = 639074304 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-04 08:37:45Z : PB = 643747840 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-04 08:37:45Z : PB = 643747840 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-04 08:37:45Z : PB = 643760128 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-04 08:37:45Z : PB = 643551232 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-04 08:37:45Z : PB = 643792896 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-04 08:37:45Z : PB = 643809280 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-04 08:37:45Z : PB = 643117056 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-04 08:37:45Z : PB = 643117056 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-04 08:37:45Z : PB = 646557696 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-04 08:37:45Z : PB = 646557696 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-04 08:37:45Z : PB = 646557696 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-04 08:37:45Z : PB = 646557696 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-04 08:37:45Z : PB = 646557696 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-04 08:37:45Z : PB = 646557696 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-04 08:37:45Z : PB = 646557696 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-04 08:37:45Z : PB = 646557696 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-04 08:37:46Z : PB = 650641408 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-04 08:37:46Z : PB = 650641408 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-04 08:37:46Z : PB = 650641408 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-04 08:37:46Z : PB = 650641408 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-04 08:37:46Z : PB = 650641408 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-04 08:37:46Z : PB = 650649600 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-04 08:37:46Z : PB = 650649600 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-04 08:37:46Z : PB = 650649600 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-04 08:37:46Z : PB = 635158528 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-04 08:37:46Z : PB = 635158528 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-04 08:37:46Z : PB = 635158528 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-04 08:37:46Z : PB = 635158528 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-04 08:37:46Z : PB = 635158528 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-04 08:37:46Z : PB = 635158528 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-04 08:37:46Z : PB = 635158528 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-04 08:37:46Z : PB = 635158528 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-04 08:37:46Z : PB = 638644224 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-04 08:37:46Z : PB = 638644224 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-04 08:37:46Z : PB = 638435328 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-04 08:37:46Z : PB = 638435328 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-04 08:37:46Z : PB = 638435328 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-04 08:37:46Z : PB = 638443520 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-04 08:37:46Z : PB = 638443520 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-04 08:37:46Z : PB = 638443520 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-04 08:37:46Z : PB = 641683456 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-04 08:37:46Z : PB = 641683456 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-04 08:37:46Z : PB = 641683456 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-04 08:37:46Z : PB = 641683456 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-04 08:37:46Z : PB = 641683456 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-04 08:37:46Z : PB = 641654784 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-04 08:37:46Z : PB = 641654784 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-04 08:37:46Z : PB = 641654784 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-04 08:37:46Z : PB = 645181440 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-04 08:37:46Z : PB = 645181440 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-04 08:37:46Z : PB = 645181440 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-04 08:37:46Z : PB = 645390336 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-04 08:37:46Z : PB = 645390336 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-04 08:37:46Z : PB = 645398528 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-04 08:37:46Z : PB = 645398528 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-04 08:37:46Z : PB = 645398528 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-04 08:37:46Z : PB = 648953856 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-04 08:37:46Z : PB = 648953856 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-04 08:37:46Z : PB = 648953856 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-04 08:37:46Z : PB = 648953856 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-04 08:37:46Z : PB = 648953856 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-04 08:37:46Z : PB = 648953856 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-04 08:37:46Z : PB = 648953856 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-04 08:37:46Z : PB = 648953856 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-04 08:37:46Z : PB = 652386304 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-04 08:37:46Z : PB = 652386304 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-04 08:37:46Z : PB = 652386304 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-04 08:37:46Z : PB = 652386304 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-04 08:37:46Z : PB = 652386304 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-04 08:37:46Z : PB = 652214272 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-04 08:37:46Z : PB = 652214272 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-04 08:37:46Z : PB = 652214272 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-04 08:37:47Z : PB = 635752448 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-04 08:37:47Z : PB = 635752448 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-04 08:37:47Z : PB = 635752448 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-04 08:37:47Z : PB = 635752448 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-04 08:37:47Z : PB = 635752448 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-04 08:37:47Z : PB = 635752448 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-04 08:37:47Z : PB = 635752448 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-04 08:37:47Z : PB = 635752448 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-04 08:37:47Z : PB = 637915136 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-04 08:37:47Z : PB = 637915136 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-04 08:37:47Z : PB = 637915136 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-04 08:37:47Z : PB = 637915136 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-04 08:37:47Z : PB = 637915136 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-04 08:37:47Z : PB = 637915136 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-04 08:37:47Z : PB = 637915136 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-04 08:37:47Z : PB = 637915136 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-04 08:37:48Z : PB = 634179584 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-04 08:37:48Z : PB = 634179584 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-04 08:37:48Z : PB = 634179584 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-04 08:37:48Z : PB = 634179584 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-04 08:37:48Z : PB = 634179584 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-04 08:37:48Z : PB = 634179584 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-04 08:37:48Z : PB = 634179584 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-04 08:37:48Z : PB = 634179584 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-04 08:37:48Z : PB = 634941440 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-04 08:37:48Z : PB = 634961920 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-04 08:37:48Z : PB = 634961920 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-04 08:37:48Z : PB = 634961920 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
